cluster,type,index,lon,lat,alt
0,target,0,-18.1000000,65.6500000,901.5000000
0,target,1,-17.0000000,65.6000000,933.8000000
0,target,2,-16.5000000,65.8000000,813.0000000
0,target,3,-15.6000000,65.6800000,863.3000000
0,target,4,-14.3900000,65.8120000,804.5000000
0,target,5,-13.5500000,65.0800000,832.8000000
0,target,6,-14.0000000,64.9300000,875.8000000
0,target,7,-14.7400000,64.7500000,804.0000000
0,target,8,-15.2000000,64.5300000,829.8000000
0,target,9,-14.9000000,65.5000000,897.5000000
0,waypoint_sa,0,-18.1000000,65.6500000,901.5000000
0,waypoint_sa,1,-17.6868845,65.6152346,875.0069426
0,waypoint_sa,2,-17.6756660,65.6142088,874.9915526
0,waypoint_sa,3,-17.5631397,65.6015975,875.0668377
0,waypoint_sa,4,-17.1787846,65.5988602,874.8181695
0,waypoint_sa,5,-17.0000000,65.6000000,933.8000000
0,waypoint_sa,6,-16.9662345,65.6268235,875.0079885
0,waypoint_sa,7,-16.8233346,65.7332912,874.9842157
0,waypoint_sa,8,-16.6653229,65.7641821,875.0103362
0,waypoint_sa,9,-16.6417438,65.7684549,874.9681407
0,waypoint_sa,10,-16.5000000,65.8000000,813.0000000
0,waypoint_sa,11,-16.2007664,65.7388048,875.1078159
0,waypoint_sa,12,-16.1988377,65.7384393,874.2641615
0,waypoint_sa,13,-16.1905283,65.7364507,874.9612145
0,waypoint_sa,14,-16.0756397,65.7077774,908.5400625
0,waypoint_sa,15,-15.6000000,65.6800000,863.3000000
0,waypoint_sa,16,-15.5972850,65.6805463,875.0409511
0,waypoint_sa,17,-15.4150699,65.7203638,874.8871711
0,waypoint_sa,18,-15.0425613,65.8168803,875.8077753
0,waypoint_sa,19,-14.4048952,65.8123920,874.2337671
0,waypoint_sa,20,-14.3900000,65.8120000,804.5000000
0,waypoint_sa,21,-14.1057529,65.5578291,874.9958439
0,waypoint_sa,22,-14.0521858,65.5125724,875.0105691
0,waypoint_sa,23,-13.9795061,65.4531028,874.9862429
0,waypoint_sa,24,-13.9694731,65.4447104,874.9892624
0,waypoint_sa,25,-13.5500000,65.0800000,832.8000000
0,waypoint_sa,26,-13.5716471,65.0832164,874.9108455
0,waypoint_sa,27,-13.6103489,65.0886188,875.2191300
0,waypoint_sa,28,-13.8923519,65.0838569,876.6357521
0,waypoint_sa,29,-13.9951017,65.0022971,875.2856359
0,waypoint_sa,30,-14.0000000,64.9300000,875.8000000
0,waypoint_sa,31,-14.9169864,64.8603677,921.5561960
0,waypoint_sa,32,-14.3146995,64.7623828,869.1559711
0,waypoint_sa,33,-13.7336220,65.0577322,902.9095971
0,waypoint_sa,34,-15.3282602,64.7001394,841.1439181
0,waypoint_sa,35,-14.7400000,64.7500000,804.0000000
0,waypoint_sa,36,-15.6338495,64.3521962,856.4348245
0,waypoint_sa,37,-14.8194818,64.5507241,929.0476515
0,waypoint_sa,38,-15.5344931,64.9001375,946.3817090
0,waypoint_sa,39,-14.5119408,64.3610514,907.8284280
0,waypoint_sa,40,-15.2000000,64.5300000,829.8000000
0,waypoint_sa,41,-15.3784115,66.3501669,920.6938250
0,waypoint_sa,42,-15.3133807,65.1249593,863.1867067
0,waypoint_sa,43,-14.8927655,64.8819763,828.6772142
0,waypoint_sa,44,-15.2990715,64.0903208,895.7018464
0,waypoint_sa,45,-14.9000000,65.5000000,897.5000000
0,waypoint_drstasa,0,-18.1000000,65.6500000,901.5000000
0,waypoint_drstasa,1,-17.4104368,65.6432308,924.1101075
0,waypoint_drstasa,2,-17.4104368,65.6432308,924.1101075
0,waypoint_drstasa,3,-17.4104368,65.6432308,924.1101075
0,waypoint_drstasa,4,-17.4104368,65.6432308,924.1101075
0,waypoint_drstasa,5,-17.0000000,65.6000000,933.8000000
0,waypoint_drstasa,6,-16.8045289,65.7481100,851.6244565
0,waypoint_drstasa,7,-16.8042398,65.7481874,850.6244231
0,waypoint_drstasa,8,-16.8035798,65.7480458,852.0138217
0,waypoint_drstasa,9,-16.8023338,65.7481987,856.3878206
0,waypoint_drstasa,10,-16.5000000,65.8000000,813.0000000
0,waypoint_drstasa,11,-16.1666441,65.7062918,853.4579712
0,waypoint_drstasa,12,-16.1634870,65.7055799,844.6198912
0,waypoint_drstasa,13,-16.0378719,65.6869955,905.6640021
0,waypoint_drstasa,14,-15.8565840,65.6727553,816.8174987
0,waypoint_drstasa,15,-15.6000000,65.6800000,863.3000000
0,waypoint_drstasa,16,-14.9392612,65.8400332,860.2038757
0,waypoint_drstasa,17,-14.9392610,65.8400332,860.2104628
0,waypoint_drstasa,18,-14.9392611,65.8400332,860.2033539
0,waypoint_drstasa,19,-14.9392611,65.8400332,860.2033539
0,waypoint_drstasa,20,-14.3900000,65.8120000,804.5000000
0,waypoint_drstasa,21,-13.9883634,65.4622221,871.8349816
0,waypoint_drstasa,22,-13.9883634,65.4622263,871.8349816
0,waypoint_drstasa,23,-13.9883634,65.4622310,871.8349816
